household_key,COMMODITY_DESC,filter_reason,reference_week
1,APPLES,recent_purchase,46
1,BAG SNACKS,recent_purchase,46
1,BAKED BREAD/BUNS/ROLLS,recent_purchase,46
1,BAKING MIXES,recent_purchase,46
1,BLEACH,recent_purchase,46
1,CANDY - PACKAGED,recent_purchase,46
1,CHEESE,recent_purchase,46
1,COLD CEREAL,recent_purchase,46
1,CONDIMENTS/SAUCES,recent_purchase,46
1,COOKIES/CONES,recent_purchase,46
1,CRACKERS/MISC BKD FD,recent_purchase,46
1,DELI MEATS,recent_purchase,46
1,DRY NOODLES/PASTA,recent_purchase,46
1,FLUID MILK PRODUCTS,recent_purchase,46
1,FROZEN PIE/DESSERTS,recent_purchase,46
1,FRUIT - SHELF STABLE,recent_purchase,46
1,LUNCHMEAT,recent_purchase,46
1,MARGARINES,recent_purchase,46
1,MEAT - SHELF STABLE,recent_purchase,46
1,ORAL HYGIENE PRODUCTS,recent_purchase,46
1,PIES,recent_purchase,46
1,POTATOES,recent_purchase,46
1,REFRGRATD JUICES/DRNKS,recent_purchase,46
1,SALAD MIX,recent_purchase,46
1,SNACK NUTS,recent_purchase,46
1,SOFT DRINKS,recent_purchase,46
1,SOUP,recent_purchase,46
1,SPICES & EXTRACTS,recent_purchase,46
1,SUGARS/SWEETNERS,recent_purchase,46
1,TROPICAL FRUIT,recent_purchase,46
1,VEGETABLES - SHELF STABLE,recent_purchase,46
2,ICE CREAM/MILK/SHERBTS,recent_purchase,46
2,SOFT DRINKS,recent_purchase,46
3,BEEF,recent_purchase,46
3,REFRGRATD DOUGH PRODUCTS,recent_purchase,46
3,SOFT DRINKS,recent_purchase,46
3,VEGETABLES - SHELF STABLE,recent_purchase,46
4,BAG SNACKS,recent_purchase,46
4,BAKED BREAD/BUNS/ROLLS,recent_purchase,46
4,BATH TISSUES,recent_purchase,46
4,CHEESE,recent_purchase,46
4,CIGARETTES,recent_purchase,46
4,CONVENIENT BRKFST/WHLSM SNACKS,recent_purchase,46
4,FROZEN PIZZA,recent_purchase,46
4,HEAT/SERVE,recent_purchase,46
4,HISPANIC,recent_purchase,46
4,LUNCHMEAT,recent_purchase,46
